Month,Original_kW,After_55kW,After_80kW,After_100kW,After_150kW,Savings_55kW_USD,Savings_80kW_USD,Savings_100kW_USD,Savings_150kW_USD
1,149.6,94.6,69.6,49.6,0.0,2055.35,2989.6,3736.9999999999995,5590.552
2,164.0,109.0,84.0,64.0,14.0,2055.35,2989.6,3736.9999999999995,5605.5
3,102.7,47.7,22.7,2.7,0.0,2055.35,2989.6,3736.9999999999995,3837.899
4,94.4,39.4,14.4,0.0,0.0,2055.35,2989.6,3527.728,3527.728
5,94.2,39.2,14.2,0.0,0.0,2055.35,2989.6,3520.254,3520.254
6,94.0,39.0,14.0,0.0,0.0,2055.35,2989.6,3512.7799999999997,3512.7799999999997
7,94.1,39.1,14.1,0.0,0.0,2055.3499999999995,2989.6,3516.5169999999994,3516.5169999999994
8,93.9,38.9,13.9,0.0,0.0,2055.35,2989.6,3509.043,3509.043
9,94.2,39.2,14.2,0.0,0.0,2055.35,2989.6,3520.254,3520.254
10,107.7,52.7,27.7,7.7,0.0,2055.35,2989.6,3736.9999999999995,4024.749
11,117.9,62.9,37.9,17.9,0.0,2055.35,2989.6,3736.9999999999995,4405.923
12,148.5,93.5,68.5,48.5,0.0,2055.35,2989.6,3736.9999999999995,5549.445
